"India/State/ UT",Transition Rate,,,,,,,,
"",Primary to Upper Primary (5 to 6),Upper Primary to Secondary (8 to 9),Secondary to Higher Secondary (10 to 11),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,90.2,90.8,90.5,91.3,88.4,89.9,67.5,70.2,68.8
Andaman and Nicobar Islands,98.5,99.3,98.9,100.0,100.0,100.0,71.2,76.0,73.7
Andhra Pradesh,96.6,97.4,97.0,95.5,95.8,95.7,66.8,70.7,68.7
Arunachal Pradesh,91.4,100.0,95.8,93.1,91.0,92.1,48.0,48.4,48.2
Assam,98.3,100.0,100.0,94.5,98.0,96.3,55.7,48.9,52.2
Bihar,75.8,78.9,77.3,71.8,71.3,71.5,48.0,43.4,45.7
Chandigarh,100.0,100.0,100.0,99.0,98.1,98.6,100.0,100.0,100.0
Chhattisgarh,93.4,93.8,93.6,87.6,90.3,89.0,69.0,71.3,70.2
Dadra and Nagar Haveli,99.9,100.0,100.0,95.1,94.1,94.6,69.3,73.9,71.6
Daman and Diu,93.0,93.2,93.1,100.0,100.0,100.0,63.7,67.3,65.5
Delhi,92.7,96.6,94.5,96.1,97.4,96.7,85.4,87.2,86.2
Goa,98.9,99.2,99.0,100.0,98.7,100.0,96.8,96.9,96.9
Gujarat,97.1,97.0,97.0,88.6,80.2,84.8,57.0,66.1,60.8
Haryana,98.4,97.9,98.2,97.5,95.1,96.4,61.9,66.9,64.1
Himachal Pradesh,99.4,99.2,99.3,100.0,99.4,99.7,81.0,85.0,82.9
Jammu and Kashmir,92.1,91.1,91.6,91.0,87.9,89.6,74.3,74.4,74.4
Jharkhand,84.2,87.7,85.9,77.2,77.8,77.5,67.2,64.9,66.1
Karnataka,99.7,99.9,99.8,99.1,98.0,98.5,51.8,62.4,56.9
Kerala,100.0,100.0,100.0,100.0,99.7,100.0,78.9,86.9,82.8
Ladakh,88.6,95.8,92.2,94.1,95.9,95.1,73.3,72.1,72.7
Lakshadweep,99.3,100.0,100.0,100.0,100.0,100.0,100.0,93.2,97.7
Madhya Pradesh,92.5,92.7,92.6,89.4,83.8,86.7,65.9,70.0,67.7
Maharashtra,98.9,98.8,98.8,97.3,95.4,96.4,79.0,80.2,79.5
Manipur,89.0,92.7,90.8,87.3,87.9,87.6,78.8,77.8,78.3
Meghalaya,87.6,93.8,90.7,77.5,79.7,78.6,55.3,57.6,56.5
Mizoram,98.9,98.9,98.9,96.7,98.1,97.4,70.3,69.2,69.7
Nagaland,92.7,95.8,94.2,86.5,91.3,88.9,57.3,59.1,58.2
Odisha,94.1,93.2,93.7,91.4,92.2,91.8,79.8,87.7,83.7
Puducherry,100.0,100.0,100.0,100.0,99.5,99.8,74.4,87.6,80.9
Punjab,97.4,97.4,97.4,94.6,94.1,94.4,79.2,84.3,81.4
Rajasthan,91.9,91.8,91.9,95.0,92.1,93.7,76.6,77.1,76.8
Sikkim,89.7,96.4,92.9,100.0,100.0,100.0,70.8,79.2,75.3
Tamil Nadu,98.4,97.9,98.1,99.8,98.6,99.2,70.3,87.2,78.7
Telangana,96.2,96.3,96.3,97.3,97.8,97.5,69.5,76.7,73.1
Tripura,91.9,94.3,93.1,94.5,96.0,95.2,53.3,48.7,50.9
Uttar Pradesh,80.2,80.2,80.2,91.3,79.6,85.5,63.7,65.4,64.5
Uttarakhand,94.8,95.4,95.1,92.0,92.4,92.2,72.8,77.9,75.3
West Bengal,95.0,96.7,95.9,93.3,99.6,96.6,80.3,73.9,76.7
